salario,edad,años_trabajando
30069,48,8
32885,36,9
9623,33,3
24124,21,3
27016,52,0
19729,25,2
24812,63,21
19532,19,1
22051,29,1
9653,53,4
17502,26,4
10171,27,5
31777,49,3
38582,42,23
47095,63,2
14021,41,22
18533,25,2
36154,38,13
16347,49,13
28030,52,9
46499,52,24
42280,21,0
15947,36,6
11315,25,6
48182,61,35
20416,65,34
36119,30,7
11858,18,0
17569,28,6
47076,18,0
12218,52,34
27943,33,11
13797,28,0
45786,44,17
11454,42,12
16209,33,1
17469,63,0
44445,22,0
32122,43,1
18595,63,6
43055,30,7
31325,23,1
30538,46,13
45331,41,2
45123,20,2
39113,21,1
12103,56,27
42215,32,14
28845,64,32
47637,59,41
36289,32,4
16357,48,29
40105,47,23
8251,63,37
47251,43,5
12663,44,25
39002,33,10
33729,65,4
27050,55,15
27445,61,39
16413,35,3
18629,37,19
16394,52,28
44273,34,10
38387,49,20
20095,20,2
47518,26,5
36806,41,21
26536,38,19
49520,62,23
43787,42,18
19313,26,7
22372,30,0
32672,61,41
28099,46,17
42778,19,1
47007,64,24
27249,29,6
13045,32,9
26794,54,3
25040,62,7
33717,53,26
9087,25,1
38670,55,7
32539,48,29
38229,57,2
17026,41,21
40967,40,2
37605,23,5
24000,31,3
35180,59,16
26396,43,22
16150,29,0
23103,57,13
17231,55,21
14855,46,17
10964,52,24
40150,32,4
40398,42,7
38792,35,14
10797,34,11
46732,44,25
19507,21,3
28382,23,5
15742,19,0
13168,31,13
27141,51,15
12638,63,26
8012,47,28
23488,48,1
28458,18,0
48849,42,16
23884,20,1
30807,48,1
14165,46,3
35014,31,0
36355,29,10
45087,56,23
9502,41,23
18979,35,1
39241,39,15
30550,44,14
18438,42,15
19913,21,3
20457,58,8
10851,44,13
13194,25,5
19612,35,15
48113,57,9
35209,41,10
43579,34,15
46331,53,10
48062,28,8
35899,44,14
16735,23,3
40079,41,8
37295,42,24
42389,48,17
45059,43,1
12299,54,31
33008,45,20
22334,37,12
14362,55,1
27540,63,20
47526,64,23
15830,44,13
8360,39,17
32906,42,15
32894,43,19
45382,58,23
18714,50,0
45831,47,19
29673,20,2
39257,26,6
21017,63,30
31040,23,0
47474,44,5
28324,35,10
46607,39,16
47745,46,0
46487,46,18
11000,31,5
20714,63,5
10410,35,6
36645,33,12
19043,64,40
33139,38,2
16950,19,1
36611,28,0
28710,35,5
36303,19,1
45659,37,11
32682,32,9
49410,47,13
11134,44,2
30279,32,14
39237,63,25
15608,50,16
12651,33,6
16746,60,37
26228,63,34
44589,58,21
19693,45,19
34176,59,33
31976,22,4
25578,58,14
8004,45,17
18954,39,17
42934,28,5
15170,25,1
31314,54,6
8129,30,2
38111,65,45
39053,32,3
8356,45,2
47425,35,17
41704,44,18
30223,53,20
14743,41,13
25414,55,19
16733,30,8
31954,44,3
30964,57,11
31537,28,5
9146,44,5
26380,20,0
40755,38,1
31592,57,3
17638,41,10
38050,61,18
38392,44,23
40263,58,27
25950,65,32
23198,48,3
47465,47,5
23987,31,1
35973,52,15
9647,29,3
29614,44,17
16812,58,35
36939,35,13
22517,46,4
21320,62,43
19922,34,5
18448,54,36
37799,33,0
38872,58,34
23858,35,12
17479,21,3
49101,55,25
10077,42,19
14846,37,12
47988,44,10
14953,19,0
35452,20,1
39997,41,21
19384,43,14
19227,62,30
24217,47,19
26697,35,3
43744,34,4
24022,43,15
24796,24,1
44128,49,16
15674,53,21
30625,38,11
15762,61,13
18780,48,25
15262,25,1
40545,52,12
11420,52,10
14386,29,6
41705,23,2
13719,24,0
15412,33,10
40611,32,8
48978,52,24
27516,29,4
28718,61,9
32213,52,24
16906,33,4
34264,24,5
42836,19,1
37427,44,15
36523,45,7
10728,64,37
17060,64,36
16902,38,17
8701,36,8
29861,20,1
17509,36,16
49849,40,2
42911,56,12
38329,60,11
47195,52,13
37211,58,38
29323,57,19
36884,24,1
13435,26,2
22749,57,6
33285,55,31
46480,20,2
42841,38,18
20907,57,4
49322,63,8
35210,18,0
27128,60,14
47053,64,32
31014,52,6
21023,43,18
43485,19,0
10473,30,12
43534,61,23
19263,44,2
41275,23,2
24432,38,16
18183,65,37
13976,62,20
13268,52,19
28615,59,23
14321,36,2
48280,50,19
19994,27,9
26513,62,11
42077,63,13
27545,22,3
29978,57,34
25970,56,12
48958,34,1
19219,28,1
43914,37,16
11276,18,0
12323,24,6
35630,29,2
45330,28,4
45010,40,19
22789,43,13
31758,56,0
18522,29,10
24935,24,5
43168,25,6
41657,65,11
35690,51,26
35961,22,1
31053,34,8
34668,33,14
35877,22,1
46792,57,14
25972,48,13
40259,61,19
16746,30,12
19133,18,0
46525,63,6
48697,55,26
23217,19,1
35854,59,40
25820,32,13
46496,60,0
24841,56,26
11272,54,21
16307,30,5
37006,44,26
25494,48,8
37930,18,0
29499,29,3
16650,30,2
17138,52,34
42770,31,6
40759,61,17
42091,49,19
34528,31,12
12049,40,14
41712,19,0
40523,65,22
49098,59,34
27362,24,1
31863,38,0
30819,29,11
26651,34,4
41049,34,1
19260,38,10
29037,47,1
9502,38,6
18063,58,17
12875,40,14
13422,28,10
29730,50,1
24843,48,7
22707,45,21
10229,20,2
29049,48,16
47198,65,34
33297,52,4
19846,38,12
40807,20,0
8786,34,14
48286,19,1
17785,51,19
20741,55,37
29378,24,1
19170,28,4
36638,47,10
42358,35,6
39813,39,14
17701,64,21
15283,38,8
39961,21,3
19074,24,2
26737,50,21
12236,51,9
30341,27,7
20479,62,42
45273,25,1
39100,60,15
36086,43,24
38601,51,23
15881,63,5
44767,51,8
12797,24,3
31555,53,13
45158,28,10
35142,41,23
20899,41,20
9055,50,30
40612,62,40
11368,62,20
16078,28,4
37658,60,34
45236,43,16
34923,63,12
33336,49,6
39155,37,2
9284,24,4
8943,45,23
34422,22,3
14266,56,9
34857,39,13
16829,30,11
28614,45,7
49456,57,2
47065,58,23
16695,59,8
16265,34,6
11091,34,9
22808,35,2
23837,48,14
36199,31,5
8126,32,11
44220,29,7
42366,49,11
14584,21,0
35034,28,8
16622,58,0
25733,32,8
16842,42,4
24081,29,2
26878,41,13
40576,29,9
8319,58,14
46186,60,6
48864,36,17
46452,24,6
19477,27,4
35387,55,18
10953,43,6
8852,23,1
33628,52,9
40721,49,15
43386,36,16
9895,18,0
33361,44,24
12200,49,24
9458,53,1
47616,27,6
29960,45,20
15477,50,16
42019,20,2
10943,59,34
16041,63,15
36193,31,12
10243,20,2
17517,65,31
48998,65,25
19760,32,6
43991,47,5
32313,21,2
45267,46,25
10716,53,6
38672,27,8
33362,42,8
35401,31,4
35551,28,5
8793,30,12
44201,41,4
33087,28,9
49416,19,0
27553,40,3
9916,46,9
46581,55,25
47592,32,5
19536,19,1
19417,27,7
12398,53,0
49790,59,18
15460,55,9
29947,64,37
30059,45,13
45124,27,9
30216,19,1
21214,26,3
8611,26,5
20579,45,0
42315,25,4
27775,32,3
15332,52,6
26645,48,27
42982,25,6
36319,38,2
24478,47,7
23161,45,9
47914,50,0
31839,61,30
10760,54,32
49846,18,0
34126,20,0
18144,32,2
8519,47,2
43710,45,24
22464,47,22
40953,55,21
18866,37,17
27701,49,23
31037,33,14
31838,46,19
20796,45,6
35961,53,13
22912,24,0
33417,46,20
46413,47,21
39981,38,0
30650,44,18
42227,43,22
42125,65,39
34695,20,0
36359,34,12
43760,39,6
46087,19,0
32282,43,3
44106,43,23
9060,24,4
26078,27,9
20980,60,34
39422,21,1
28157,41,17
